                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1358,                 5.3206,                 4.0448,                0.00094,                0.02225,                0.00072,                0.00023,                 2.8577,                  4.646,                  3.787,               0.070128,              0.0033191,              0.0033191
                      2,                 2.8358,                 4.9784,                 3.4208,                0.16034,                0.07428,                0.00336,                 0.0011,                  2.756,                 5.2125,                 3.3021,               0.040106,              0.0066305,              0.0066305
                      3,                 2.3286,                 4.5154,                 2.8632,                0.32412,                0.01964,                0.00646,                0.00268,                 2.2655,                 4.2777,                 2.9256,               0.010062,              0.0099199,              0.0099199
                      4,                 1.7991,                 4.0342,                 2.3595,                0.41217,                0.08855,                0.02971,                0.01598,                 1.8222,                 3.8579,                 2.4862,               0.009901,               0.009901,               0.009901
                      5,                 1.5476,                 3.6919,                 2.0929,                0.36754,                0.11023,                0.07517,                0.04491,                 1.6178,                 3.4438,                 2.2189,               0.009901,               0.009901,               0.009901
                      6,                 1.4199,                 3.4545,                 1.9562,                0.52971,                0.12066,                0.09066,                0.05226,                 1.4928,                 3.3946,                 2.0963,               0.009868,               0.009868,               0.009868
                      7,                 1.3452,                 3.2941,                 1.8805,                0.44164,                0.16639,                0.13442,                0.08326,                 1.3832,                 3.0058,                 1.9362,               0.009835,               0.009835,               0.009835
                      8,                 1.2783,                  3.143,                 1.8025,                 0.5168,                0.18668,                 0.1472,                0.09129,                 1.3319,                 2.9261,                 1.8876,               0.009802,               0.009802,               0.009802
                      9,                 1.2444,                  3.045,                 1.7739,                0.38925,                0.20609,                0.17601,                0.11605,                 1.2296,                  2.792,                  1.791,               0.009769,               0.009769,               0.009769
                     10,                 1.2167,                  2.997,                 1.7463,                0.58216,                0.18168,                 0.1858,                0.12564,                 1.2053,                 2.7537,                 1.7559,               0.009736,               0.009736,               0.009736
                     11,                 1.1848,                 2.8797,                 1.7111,                 0.4605,                0.23328,                0.20116,                0.13329,                 1.1883,                 2.6582,                 1.7245,               0.009703,               0.009703,               0.009703
