                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1644,                 5.3095,                 4.0279,                0.00221,                0.02272,                0.00149,                0.00087,                 2.7985,                 6.9147,                 3.7502,               0.070032,              0.0033298,              0.0033298
                      2,                 2.7501,                 4.9768,                 3.3142,                0.00134,                0.23564,                0.00433,                0.00198,                 2.4611,                 4.3116,                 3.1065,                0.04001,              0.0066411,              0.0066411
                      3,                 2.1766,                  4.497,                 2.7013,                0.48792,                0.02804,                0.01564,                0.00679,                 2.0941,                  3.971,                 2.7847,               0.009966,              0.0099305,              0.0099305
                      4,                 1.7538,                  4.035,                 2.2997,                0.50814,                0.07057,                0.05526,                0.03085,                 1.7479,                 3.5048,                 2.3926,               0.009901,               0.009901,               0.009901
                      5,                 1.5749,                 3.7868,                 2.1263,                0.45451,                0.10917,                0.07025,                0.03993,                 1.5651,                 3.4017,                 2.1698,               0.009901,               0.009901,               0.009901
                      6,                 1.4689,                 3.5925,                 2.0135,                0.46228,                 0.0965,                 0.0835,                0.05232,                  1.468,                 3.1835,                 2.0358,               0.009868,               0.009868,               0.009868
                      7,                 1.3946,                 3.4674,                 1.9303,                0.44987,                0.15741,                0.10499,                0.06693,                 1.3949,                 3.0294,                 1.9393,               0.009835,               0.009835,               0.009835
                      8,                  1.324,                 3.3183,                 1.8624,                0.54928,                 0.1295,                0.12345,                   0.08,                 1.3169,                 2.9709,                 1.8751,               0.009802,               0.009802,               0.009802
                      9,                 1.2818,                 3.2239,                 1.8197,                0.48439,                0.16546,                0.14748,                0.09932,                 1.2468,                 2.8887,                 1.8015,               0.009769,               0.009769,               0.009769
                     10,                 1.2408,                 3.1472,                 1.7705,                0.57121,                0.18505,                  0.163,                0.10663,                 1.2742,                 2.7779,                 1.8072,               0.009736,               0.009736,               0.009736
                     11,                  1.207,                 3.0817,                 1.7503,                0.51935,                0.19393,                0.15778,                  0.108,                 1.2519,                 2.8098,                 1.7874,               0.009703,               0.009703,               0.009703
                     12,                 1.1775,                 3.0098,                 1.7169,                0.54602,                0.18943,                0.16991,                0.11564,                 1.1782,                 2.7228,                 1.7095,                0.00967,                0.00967,                0.00967
                     13,                 1.1609,                 2.9505,                 1.7007,                0.57103,                0.20348,                 0.1955,                0.13865,                 1.1339,                 2.5795,                 1.6699,               0.009637,               0.009637,               0.009637
                     14,                 1.1336,                 2.8915,                  1.675,                0.56662,                0.20902,                 0.2048,                0.14476,                 1.1343,                 2.5935,                 1.6825,               0.009604,               0.009604,               0.009604
                     15,                 1.1233,                 2.8388,                 1.6621,                0.55933,                0.23977,                0.22341,                0.16078,                 1.0995,                 2.5031,                 1.6246,               0.009571,               0.009571,               0.009571
                     16,                 1.0991,                  2.782,                  1.638,                0.50609,                0.24394,                0.21959,                0.15765,                 1.0604,                 2.4681,                 1.6054,               0.009538,               0.009538,               0.009538
                     17,                 1.0805,                 2.7596,                 1.6236,                0.55201,                0.24593,                0.23208,                0.16821,                 1.0332,                 2.4418,                 1.5698,               0.009505,               0.009505,               0.009505
                     18,                 1.0702,                 2.7325,                 1.6222,                0.47629,                0.24218,                0.22293,                0.16442,                 1.0267,                 2.4153,                 1.5708,               0.009472,               0.009472,               0.009472
                     19,                 1.0502,                  2.679,                 1.6002,                0.50639,                0.28186,                0.24727,                0.17983,                 1.0177,                 2.3499,                 1.5458,               0.009439,               0.009439,               0.009439
                     20,                 1.0463,                 2.6374,                 1.5913,                0.53271,                0.29501,                0.27643,                0.19681,                 1.0413,                 2.3006,                 1.5687,               0.009406,               0.009406,               0.009406
                     21,                 1.0321,                 2.6105,                 1.5832,                0.64972,                0.24273,                0.26977,                0.20014,                0.96677,                 2.2847,                 1.5108,               0.009373,               0.009373,               0.009373
                     22,                 1.0069,                 2.5683,                 1.5649,                0.61719,                0.26286,                0.26523,                0.19412,                0.97999,                 2.2848,                 1.5308,                0.00934,                0.00934,                0.00934
                     23,                 1.0144,                 2.5594,                 1.5671,                0.66766,                0.24856,                0.26539,                0.19846,                0.95823,                 2.2213,                 1.4883,               0.009307,               0.009307,               0.009307
                     24,                0.99775,                  2.514,                 1.5493,                0.67309,                0.25931,                0.27985,                0.21101,                0.95312,                 2.2498,                 1.4831,               0.009274,               0.009274,               0.009274
                     25,                0.98483,                 2.4823,                 1.5334,                0.61245,                0.24161,                0.26491,                0.19926,                0.93935,                  2.247,                 1.4868,               0.009241,               0.009241,               0.009241
                     26,                0.97964,                 2.4716,                  1.531,                0.69807,                0.24563,                 0.2676,                0.19754,                0.96378,                 2.1727,                  1.507,               0.009208,               0.009208,               0.009208
                     27,                0.98517,                 2.4626,                  1.532,                0.60934,                0.25454,                0.28302,                0.21178,                0.92621,                 2.1725,                 1.4516,               0.009175,               0.009175,               0.009175
                     28,                0.96171,                 2.4073,                 1.5134,                0.65382,                 0.2676,                0.28303,                0.21333,                0.92408,                 2.1947,                 1.4557,               0.009142,               0.009142,               0.009142
